timestamp,a,b,membranePot
100.9093,,,0
101.91029,,,1
102.9104,,,84
102.913945,,,67
103.910669,,,67
103.913996,,,50
104.910692,,,50
104.9146,,,33
105.911219,,,33
105.913773,,,16
106.914722,,,16
106.914868,,,17
107.915208,,,17
108.91886,,,0
109.919834,,,0
200.475917,,,0
201.476074,,,1
202.47682,,,75
202.479053,,,58
203.477059,,,58
203.479887,,,41
204.477193,,,41
204.479806,,,24
205.477583,,,24
205.481594,,,7
206.481152,,,7
206.481705,,,7
300.37153,,,8
301.372176,,,9
302.372851,,,86
302.374815,,,69
303.373491,,,69
303.375866,,,52
304.37445,,,52
304.375692,,,35
305.374604,,,35
305.378305,,,18
306.374853,,,18
306.378369,,,1
307.378825,,,1
307.379069,,,2
308.379532,,,2
400.702707,,,3
401.703466,,,4
402.703958,,,79
402.706429,,,62
403.704653,,,62
403.706635,,,45
404.704763,,,45
404.708167,,,28
405.705457,,,28
405.707727,,,11
406.707799,,,11
406.708576,,,12
407.708775,,,12
500.618377,,,13
501.619243,,,14
502.619651,,,90
502.622979,,,73
503.61976,,,73
503.622984,,,56
504.620076,,,56
504.623179,,,39
505.621011,,,39
505.623309,,,22
506.621146,,,22
506.624574,,,5
507.624809,,,5
507.625466,,,5
600.403708,,,6
601.404357,,,7
602.404459,,,83
602.407793,,,66
602.408043,,,66
602.582887,,,-34
603.405168,,,-33
603.407129,,,0
604.407158,,,0
604.912,,,0
605.91219,,,1
606.879813,,,2
607.879993,,,3
608.038821,,,5
609.039672,,,6
610.124044,,,8
611.124519,,,9
612.542193,,,11
613.542984,,,12
614.547789,,,14
614.829752,,,-86
615.548347,,,-85
616.397783,,,0
617.398011,,,1
618.739391,,,3
619.739718,,,4
620.758753,,,6
621.759145,,,7
622.191719,,,9
623.191728,,,10
624.894788,,,12
625.895539,,,13
626.38535,,,15
626.89974,,,16
627.38592,,,-84
628.52249,,,0
629.523245,,,1
630.052763,,,3
631.053056,,,4
632.736913,,,6
633.737325,,,7
634.1523,,,9
635.152491,,,10
636.407173,,,12
637.40729,,,13
638.412789,,,15
638.690512,,,-85
639.412868,,,-84
640.123003,,,0
641.123301,,,1
642.194914,,,3
643.19571,,,4
644.802805,,,6
645.802887,,,7
646.807101,,,9
647.808042,,,10
648.095665,,,12
649.096185,,,13
650.100561,,,15
650.557177,,,-85
651.100709,,,-84
652.916204,,,0
653.916883,,,1
654.038869,,,3
655.038963,,,4
656.417516,,,6
657.418441,,,7
658.308258,,,9
659.308816,,,10
660.793284,,,12
661.793878,,,13
662.548707,,,15
662.798917,,,16
663.549199,,,-84
664.117222,,,0
665.117301,,,1
666.327194,,,3
667.32776,,,4
668.887953,,,6
669.888133,,,7
670.05991,,,9
671.060459,,,10
672.139473,,,12
673.140455,,,13
674.143585,,,15
674.276168,,,-85
675.143723,,,-84
676.961219,,,0
677.962139,,,1
678.409027,,,3
679.409131,,,4
680.680408,,,6
681.680582,,,7
682.505431,,,9
683.50615,,,10
684.920791,,,12
685.921442,,,13
686.508872,,,15
686.92571,,,16
687.509531,,,-84
688.406434,,,0
689.407214,,,1
690.384681,,,3
691.385079,,,4
692.097434,,,6
693.098304,,,7
694.683799,,,9
695.684629,,,10
696.320682,,,12
697.32114,,,13
698.326073,,,15
698.987543,,,-85
699.326249,,,-84
700.191121,,,0
701.191833,,,1
702.120344,,,3
703.120702,,,4
704.855537,,,6
705.855662,,,7
706.675553,,,9
707.676491,,,10
708.52934,,,12
709.529577,,,13
710.054303,,,15
710.534557,,,16
711.054688,,,-84
712.360682,,,0
713.361083,,,1
714.305066,,,3
715.30546,,,4
716.805253,,,6
717.805844,,,7
718.996085,,,9
719.996487,,,10
720.26585,,,12
721.266649,,,13
722.271771,,,15
722.484175,,,-85
723.271946,,,-84
724.275767,,,0
725.276294,,,1
726.954427,,,3
727.955126,,,4
728.517982,,,6
729.518377,,,7
730.526089,,,9
731.526671,,,10
732.543048,,,12
733.543171,,,13
734.548486,,,15
734.736856,,,-85
735.548698,,,-84
736.671254,,,0
737.672055,,,1
738.379287,,,3
739.38019,,,4
740.408614,,,6
741.408696,,,7
742.267366,,,9
743.267382,,,10
744.966093,,,12
745.967065,,,13
746.692237,,,15
746.971847,,,16
747.692892,,,-84
748.765678,,,0
749.766537,,,1
750.795425,,,3
751.796034,,,4
752.844049,,,6
753.845016,,,7
754.474273,,,9
755.474823,,,10
756.027057,,,12
757.027697,,,13
758.033015,,,15
758.473418,,,-85
759.03354,,,-84
760.611399,,,0
761.611861,,,1
762.442011,,,3
763.442276,,,4
764.796907,,,6
765.797194,,,7
766.264901,,,9
767.265776,,,10
768.626622,,,12
769.627022,,,13
770.534065,,,15
770.630363,,,16
771.53492,,,-84
772.399523,,,0
773.40037,,,1
774.858732,,,3
775.859687,,,4
776.84107,,,6
777.841635,,,7
778.978475,,,9
779.978494,,,10
780.401425,,,12
781.402277,,,13
782.406225,,,15
782.662277,,,-85
783.407094,,,-84
784.610234,,,0
785.610351,,,1
786.726656,,,3
787.727331,,,4
788.643257,,,6
789.64327,,,7
790.317165,,,9
791.317519,,,10
792.342619,,,12
793.342634,,,13
794.30081,,,15
794.34832,,,16
795.301389,,,-84
796.015633,,,0
797.016373,,,1
798.824936,,,3
799.825434,,,4
800.53298,,,6
801.533167,,,7
802.322819,,,9
803.32347,,,10
804.151109,,,12
805.151708,,,13
806.155859,,,15
806.560687,,,-85
807.15641,,,-84
808.85362,,,0
809.854527,,,1
810.91784,,,3
811.918804,,,4
812.843236,,,6
813.843471,,,7
814.081824,,,9
815.082668,,,10
816.032378,,,12
817.03314,,,13
818.037616,,,15
818.600369,,,-85
819.037831,,,-84
820.213082,,,0
821.213159,,,1
822.076966,,,3
823.077504,,,4
824.300358,,,6
825.301163,,,7
826.964375,,,9
827.96447,,,10
828.506655,,,12
829.506659,,,13
830.513045,,,15
830.707192,,,-85
831.513753,,,-84
832.24824,,,0
833.249204,,,1
834.642796,,,3
835.643178,,,4
836.12325,,,6
837.123865,,,7
838.744582,,,9
839.745443,,,10
840.901611,,,12
841.90202,,,13
842.542418,,,15
842.906919,,,16
843.542834,,,-84
844.678544,,,0
845.679011,,,1
846.040296,,,3
847.040884,,,4
848.993592,,,6
849.994409,,,7
850.282439,,,9
851.282898,,,10
852.56143,,,12
853.561898,,,13
854.10634,,,15
854.566386,,,16
855.106555,,,-84
856.428494,,,0
857.429196,,,1
858.833686,,,3
859.834453,,,4
860.639639,,,6
861.640159,,,7
862.902777,,,9
863.903107,,,10
864.772433,,,12
865.772841,,,13
866.778126,,,15
866.90752,,,-85
867.778531,,,-84
868.267052,,,0
869.267176,,,1
870.865237,,,3
871.86597,,,4
872.633099,,,6
873.633775,,,7
874.554239,,,9
875.55496,,,10
876.91336,,,12
877.913712,,,13
878.610041,,,15
878.919403,,,16
879.6109,,,-84
880.627868,,,0
881.628426,,,1
882.731965,,,3
883.732748,,,4
884.950866,,,6
885.951332,,,7
886.540413,,,9
887.540699,,,10
888.6901,,,12
889.69101,,,13
890.389644,,,15
890.695682,,,16
891.389709,,,-84
892.867197,,,0
893.867975,,,1
894.082432,,,3
895.083188,,,4
896.937693,,,6
897.937839,,,7
898.894106,,,9
899.894828,,,10
900.595768,,,12
901.596136,,,13
902.52229,,,15
902.600928,,,16
903.522791,,,-84
904.077318,,,0
905.078084,,,1
906.519423,,,3
907.519694,,,4
908.458658,,,6
909.458772,,,7
910.513106,,,9
911.513967,,,10
912.926592,,,12
913.926834,,,13
914.123591,,,15
914.93155,,,16
915.123724,,,-84
916.695743,,,0
917.696155,,,1
918.815613,,,3
919.815885,,,4
920.254045,,,6
921.254908,,,7
922.87136,,,9
923.871767,,,10
924.591239,,,12
925.592113,,,13
926.437293,,,15
926.59712,,,16
927.438289,,,-84
928.071857,,,0
929.072516,,,1
930.036121,,,3
931.037064,,,4
932.491937,,,6
933.492759,,,7
934.776617,,,9
935.776947,,,10
936.005179,,,12
937.005559,,,13
938.010764,,,15
938.352,,,-85
939.011178,,,-84
940.430076,,,0
941.430094,,,1
942.129878,,,3
943.130512,,,4
944.198152,,,6
945.198388,,,7
946.890795,,,9
947.891069,,,10
948.224014,,,12
949.224095,,,13
950.05672,,,15
950.228609,,,16
951.057323,,,-84
952.043848,,,0
953.04466,,,1
954.092983,,,3
955.093644,,,4
956.519221,,,6
957.519302,,,7
958.016644,,,9
959.017258,,,10
960.218187,,,12
961.218216,,,13
962.222587,,,15
962.762548,,,-85
963.222909,,,-84
964.806486,,,0
965.807293,,,1
966.483929,,,3
967.484446,,,4
968.42955,,,6
969.430011,,,7
970.305516,,,9
971.306502,,,10
972.229284,,,12
973.230064,,,13
974.234463,,,15
974.282855,,,-85
975.234547,,,-84
976.752572,,,0
977.753278,,,1
978.231647,,,3
979.232281,,,4
980.172471,,,6
981.172668,,,7
982.712572,,,9
983.712778,,,10
984.510954,,,12
985.511466,,,13
986.106031,,,15
986.516933,,,16
987.106072,,,-84
988.187184,,,0
989.187195,,,1
990.945087,,,3
991.945862,,,4
992.117594,,,6
993.117619,,,7
994.236141,,,9
995.236831,,,10
996.680662,,,12
997.681323,,,13
998.686729,,,15
998.753829,,,-85
999.686813,,,-84
1000.473512,,,0
1001.473991,,,1
1002.668858,,,3
1003.669316,,,4
1004.729551,,,6
