time,axonLocal,axonCore,v
200.905877,0,0,0
202.909977,2,0,2
219.915905,2,0,2
220.472791,0,0,0
235.922455,2,0,2
240.368458,0,0,0
251.930437,2,0,2
260.700339,0,0,0
267.937595,2,0,2
280.614847,0,0,0
283.943989,2,0,2
300.400323,0,0,0
300.952067,2,0,2
301.964118,1,0,1
320.579168,0,0,0
337.971406,2,0,2
340.909177,0,0,0
353.979400,2,0,2
360.876823,0,0,0
369.988782,2,0,2
380.035660,0,0,0
385.997820,2,0,2
400.121134,0,0,0
402.005056,2,0,2
419.013770,2,0,2
420.538828,0,0,0
422.024322,1,0,1
440.826960,0,0,0
458.032313,2,0,2
460.394835,0,0,0
474.040189,2,0,2
480.736784,0,0,0
490.048483,2,0,2
500.756502,0,0,0
506.057263,2,0,2
520.188163,0,0,0
522.063446,2,0,2
539.072581,2,0,2
540.891771,0,0,0
542.087561,1,0,1
560.381690,0,0,0
578.090515,2,0,2
580.519085,0,0,0
594.097689,2,0,2
600.049197,0,0,0
610.107057,2,0,2
620.734121,0,0,0
626.113255,2,0,2
640.149363,0,0,0
642.122180,2,0,2
659.128228,2,0,2
660.403926,0,0,0
662.154014,1,0,1
680.687538,0,0,0
698.150527,2,0,2
700.120815,0,0,0
714.159894,2,0,2
720.191829,0,0,0
730.166214,2,0,2
740.799815,0,0,0
746.174403,2,0,2
760.804197,0,0,0
762.180530,2,0,2
779.188782,2,0,2
780.092658,0,0,0
781.213992,1,0,1
800.553986,0,0,0
818.207324,2,0,2
820.913428,0,0,0
834.215048,2,0,2
840.035749,0,0,0
850.220907,2,0,2
860.414074,0,0,0
866.228415,2,0,2
880.305713,0,0,0
882.237253,2,0,2
899.245556,2,0,2
900.790612,0,0,0
902.271984,1,0,1
920.545910,0,0,0
938.264584,2,0,2
940.114305,0,0,0
954.271428,2,0,2
960.324171,0,0,0
970.279241,2,0,2
980.885302,0,0,0
986.287313,2,0,2
